street	direction	cross_street	landmark	offset_feet	offset_direction	signal_type	pedestrian_activated	location_detail	notes	source_text
Adams Street		Middle Street				rrfb	yes			Adams Street at Middle Street (pedestrian activated RRFB).
Auburn Street		Woodland Road				rrfb	yes			Auburn Street at Woodland Road (pedestrian activated RRFB).
Beacon Street			Cold Springs Park			rrfb	yes			Beacon Street at Cold Springs Park (pedestrian activated RRFB).
Beacon Street		Newbury Street				rrfb	yes			Beacon Street at Newbury Street (pedestrian activated RRFB).
Beacon Street		Dalton Road				rrfb	yes			Beacon Street at Dalton Road (pedestrian activated RRFB).
Beacon Street		Herrick Road		20	east	rrfb	yes			Beacon Street, 20 feet east of Herrick Road (pedestrian activated RRFB).
Beacon Street		Lake Avenue				rrfb	yes			Beacon Street at Lake Avenue (pedestrian activated RRFB).
Brookline Street		Hartman Road/Spaulding Lane				rrfb	yes			Brookline Street at Hartman Road/Spaulding Lane (pedestrian activated RRFB).
Cabot Street		Blake Street		30	west	rrfb	yes			Cabot Street, 30 feet west of Blake Street (pedestrian activated RRFB).
Centre Street		Allerton Road				rrfb	yes			Centre Street at Allerton Road (pedestrian activated RRFB).
Centre Street		Newtonville Avenue				rrfb	yes			Centre Street at Newtonville Avenue (pedestrian activated RRFB).
Centre Street		Cushing Street				rrfb	yes			Centre Street at Cushing Street (pedestrian activated RRFB).
Centre Street		Hyde Street/Woodcliff Road							signal type not stated in source	Centre Street at Hyde Street/Woodcliff Road.
Centre Street		Paul Street				rrfb	yes			Centre Street at Paul Street (pedestrian activated RRFB).
Centre Street		Pleasant Street		5	north	rrfb	yes			Centre Street, 5 feet north of Pleasant Street (pedestrian activated RRFB).
Centre Street		Crescent Avenue		115	north	rrfb	yes			Centre Street, 115 feet north of Crescent Avenue (pedestrian activated RRFB).
Centre Street		Pelham Street		14	south	rrfb	yes			Centre Street, 14 feet south of Pelham Street (pedestrian activated RRFB).
Charlesbank Road	westbound	St. James Street				flashing_yellow				Charlesbank Road, westbound, at St. James Street (flashing yellow).
Chestnut Street		Amherst Road				rrfb	yes			Chestnut Street at Amherst Road (pedestrian activated RRFB).
Christina Street		Needham Street		230	east	rrfb	yes			Christina Street, 230 feet east of Needham Street (pedestrian activated RRFB).
Commonwealth Avenue		Oldham Road				flashing_yellow				Commonwealth Avenue and Oldham Road (flashing yellow).
Commonwealth Avenue		Pamela Court		20	west	rrfb	yes			Commonwealth Avenue, 20 feet west of Pamela Court (pedestrian activated RRFB).
Commonwealth Avenue		Irving Street		40	west	rrfb	yes			Commonwealth Avenue, 40 feet west of Irving Street (pedestrian activated RRFB).
Commonwealth Avenue		Manet Road		40	east	rrfb	yes			Commonwealth Avenue, 40 feet east of Manet Road. (pedestrian activated RRFB).
Commonwealth Avenue		Windermere Road				flashing_yellow				Commonwealth Avenue and Windermere Road (flashing yellow).
Crafts Street		Albemarle Road				rrfb	yes	eastern leg		Crafts Street at Albemarle Road, eastern leg (pedestrian activated RRFB).
Cypress Street		Braeland Avenue				rrfb	yes			Cypress Street at Braeland Avenue (pedestrian activated RRFB).
Cypress Street			Cypress Street Parking Area			rrfb	yes	between the entrance and exit		Cypress Street, between the Cypress Street Parking Area entrance and exit (pedestrian activated RRFB).
East Side Parkway		Winchester Road		10	south	rrfb	yes			East Side Parkway, 10 feet south of Winchester Road (pedestrian activated RRFB).
Elliot Street		Wetherell Street		35	northeast	rrfb	yes			Elliot Street, 35 feet northeast of Wetherell Street (pedestrian activated RRFB).
Elliott Street		Cottage Street		35	east	rrfb	yes			Elliott Street, 35 feet east of Cottage Street (pedestrian activated RRFB).
