street1,street2,direction,notes
Acacia Avenue,Lee Road,southbound,
Adams Avenue,Cherry Street,eastbound,
Adams Avenue,Sheridan Street,eastbound and westbound,
Adams Street,California Street,northbound,
Adams Street,Linwood Avenue,northbound and southbound,
Adeline Road,Brandeis Road,southbound,
Adeline Road,Hagen Road,northbound,
Adella Avenue,Orchard Avenue,westbound,
Adena Road,Derby Street,northbound,
Adena Road,Derby Street,southbound,
Albemarle Road,Brookside Avenue,eastbound,southern roadway
Albemarle Road,Crafts Street,northbound,eastern roadway
Albemarle Road,North Street,northbound and southbound,eastern roadway
Albemarle Road,North Street,southbound,western roadway
Albemarle Road,Crafts Street,southbound,western roadway
Albemarle Road,Eddy Street,westbound,northern roadway
Alderwood Road,Centre Street,westbound,
Alexander Road,Walnut Hill Road,northbound,
Algonquin Road,Waban Hill Road,southbound,
Allen Avenue,Beacon Street,northbound,
Allen Avenue,Woodward Street,southbound,
Allerton Road,Centre Street,eastbound and westbound,
Allerton Road,Hyde Street,westbound,
Allerton Road,Rowena Road,southbound,
Allston Street,Mt. Vernon Street,northbound and southbound,
Amherst Road,Chestnut Street,westbound,
Andrew Street,Dedham Street,northbound,
Angier Circle,Washington Street,westbound,
Annawan Road,Waban Avenue,northbound,
Arapahoe Road,Commonwealth Avenue,southbound,North Drive
Arapahoe Road,Greenough Street,northeastbound,
Arlington Street,Nonantum Road,southbound,
Arlington Street,Park Street,westbound,
Arlington Street,Pembroke Street,eastbound and westbound,
Arlington Street,Waverley Avenue,westbound,
Armory Street,Washington Street,southbound,
Arnold Road,Country Club Road,northbound and southbound,
Arnold Road,Greenwood Street,eastbound,
Arnold Road,Greenwood Street,westbound,
Arnold Road,Meadowbrook Road,northwestbound and southeastbound,
Asheville Road,Crehore Drive,northwestbound,
Ashton Avenue,Homer Street,southbound,
Ashton Avenue,Manor House Road,eastbound,
Ashton Avenue,Morton Street,eastbound and westbound,
Aspen Street,Washington Street,southbound,
Athelstane Road,Clark Street,southbound,
Athelstane Road,Parker Street,eastbound,
Auburn Street,Lexington Street,eastbound,
Auburndale Avenue,River Street,eastbound,
Austin Street,Chestnut Street,westbound,
Austin Street,Lowell Avenue,eastbound and westbound,
Austin Street,Walnut Street,eastbound,
Avalon Road,Allen Avenue,eastbound,
Avalon Road,Upland Avenue,eastbound and westbound,
Avondale Road,Commonwealth Avenue,southbound,North Drive
Bacon Street,Pearl Street,northbound,
Baldpate Hill Road,Brookline Street,eastbound,
Baldpate Hill Road,Dudley Road,southeastbound,on traffic island
Beach Street,Court Street,northbound,
Beach Street,Washington Street,southbound,
Beaconwood Road,Beacon Street,northbound,
Beaumont Avenue,Commonwealth Avenue,southbound,South Drive
Beethoven Avenue,Woodward Street,southbound,
Bellevue Street,Centre Street,eastbound,
Bellevue Street,Newtonville Avenue,northbound,
Belmore Park,Washington Street,eastbound,
Bennington Street,Centre Street,eastbound,
Berkeley Place,Maple Street,westbound,
Berkeley Street,Prince Street,eastbound and westbound,
Berkeley Street,Temple Street,northbound,
Bernard Street,Christina Street,northbound,
Berwick Road,Lake Avenue,eastbound,
Berwick Road,Walnut Street,westbound,
Bishopsgate Road,Beacon Street,southbound,
Blake Street,Cabot Street,northbound,
Blake Street,Mill Street,southbound,
Bonmar Circle,Washington Street,eastbound,
Border Street,Elm Street,eastbound,
Botsford Road,Vine Street,southbound,
Boulder Road,Wendall Road,northbound and southbound,
Bow Road,Cypress Street,eastbound,
Bowdoin Street,Erie Avenue,southbound,
Bowdoin Street,Forest Street,northbound and southbound,
Bowdoin Street,Lincoln Street,northbound and southbound,
Brackett Road,Park Avenue,eastbound and westbound,northern intersection
Brackett Road,Park Avenue,eastbound,southern intersection
Brackett Road,Waverley Avenue,eastbound,
Braeburn Road,Commonwealth Avenue,southbound,North Drive
Braeland Avenue,Cypress Street,westbound,
Braeland Avenue,Herrick Road,eastbound and westbound,
Braeland Avenue,Institution Avenue,eastbound and westbound,
Brentwood Avenue,Garland Road,eastbound and westbound,
Brentwood Avenue,Greenlawn Avenue,eastbound,
Brentwood Avenue,Walnut Street,westbound,
Bridge Street,Watertown Street,eastbound,
Bridges Avenue,Cabot Street,southbound,
Bristol Road,Commonwealth Avenue,southbound,North Drive
Bristol Road,Commonwealth Avenue,southbound,South Drive
Broadway,Churchill Street,northbound and southbound,
Broadway,Watertown Street,southeastbound,
Broadway,Linwood Avenue,northbound,
Broken Tree Road,Old Farm Road,northbound and southbound,
Brooks Avenue,Washington Street,southbound,
Brookside Avenue,Washington Street,southbound,
Browning Road,Parker Street,eastbound,
Bullough Park,Commonwealth Avenue,southbound,South Drive
Bullough Park,Mill Street,northbound,
Bunker Lane,Fairway Drive,northbound and southbound,
Burnham Road,Valentine Street,northbound,
Buswell Park,Centre Street,westbound,
Byfield Road,Chestnut Street,westbound,
Cabot Street,East Side Parkway,eastbound and westbound,
Cabot Street,Harvard Street,eastbound and westbound,
California Street,Crafts Street,southwestbound,
Capital Street,Jackson Street,southeastbound,
Capital Street,Watertown Street,,
Carlton Road,Beacon Street,northbound,
Carlton Road,Waban Avenue,northbound and southbound,
Carleton Street,Centre Street,eastbound,
Caroline Park,Moffat Road,southeastbound,
Carthay Circle,Walnut Street,eastbound,
Carver Street,Woodward Street,northbound,
Carver Street,Woodward Street,southbound,
Cedar Street,Commonwealth Avenue,southbound,North Drive
Cedar Street,Commonwealth Avenue,northbound,South Drive
Cedar Street,Commonwealth Avenue,southbound,South Drive
Cedar Street,Mill Street,northbound,
Central Avenue,Crafts Street,northbound,
Central Avenue,Washington Street,southbound,
Central Street,Commonwealth Avenue,northbound,South Drive
Central Street,Commonwealth Avenue,southbound,South Drive
Central Street,Grove Street,westbound,
Central Street,Maple Street,eastbound and westbound,
Central Street,Woodland Road,northeastbound and southwestbound,
Centre Street,Sargent Street,southeastbound,connector spur from Sargent Street east of the traffic island
Centre Street,Cypress Street,northbound,
Channing Road,Morseland Avenue,eastbound and westbound,
Channing Street,Pearl Street,northbound,
Chapel Street,California Street,northbound,
Chapel Street,Green Street,northbound and southbound,
Chase Street,Herrick Road,all directions,
Chase Street,Langley Road,eastbound,
Chaske Avenue,Melrose Street,eastbound,at the intersection of Melrose Street
Cherry Place,Cherry Street,southeastbound,
Chesley Road,Everett Street,northbound,
Chester Street,Forest Street,northbound and southbound,Ward 5
Chesterfield Road,Commonwealth Avenue,southbound,North Drive
Chesterfield Road,Commonwealth Avenue,southbound,South Drive
Chestnut Hill Road,Hammond Street,southwestbound,
Chestnut Street,Boylston Street,northbound and southbound,northbound at the eastbound ramp and southbound at the westbound ramp
Chestnut Street,Highland Street,northbound and southbound,
Chestnut Terrace,Commonwealth Avenue,northbound,South Drive
Cheswick Road,Commonwealth Avenue,northbound,South Drive
Cheswick Road,Woodland Road,southbound,
Church Street,Eldredge Street,eastbound and westbound,
Church Street,Park Street,eastbound and westbound,
Churchill Street,Broadway,eastbound and westbound,
Churchill Street,Nevada Street,eastbound,
Claflin Place,Walnut Street,westbound,
Clarendon Street,Cabot Street,southbound,
Clarendon Street,Norwood Avenue,northbound,
Clark Street,Centre Street,northbound,
Clark Street,Rowena Road,southbound,on the traffic island at the northwest corner of the Clark Street and Rowena Road intersection
Clark Street,Route 9,eastbound,at the westbound entrance ramp of Route 9
Clements Road,Cotton Street,westbound,
Clements Road,Waverley Avenue,eastbound,
