street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Acacia Avenue	southbound	Lee Road						Acacia Avenue at Lee Road, southbound.
Adams Avenue	eastbound	Cherry Street						Adams Avenue at Cherry Street, eastbound.
Adams Avenue	eastbound,westbound	Sheridan Street						Adams Avenue at Sheridan Street, eastbound and westbound.
Adams Street	northbound	California Street						Adams Street at California Street, northbound.
Adams Street	northbound,southbound	Linwood Avenue						Adams Street at Linwood Avenue, northbound and southbound.
Adeline Road	southbound	Brandeis Road						Adeline Road at Brandeis Road, southbound.
Adeline Road	northbound	Hagen Road						Adeline Road at Hagen Road, northbound.
Adella Avenue	westbound	Orchard Avenue						Adella Avenue at Orchard Avenue, westbound.
Adena Road	northbound	Derby Street						Adena Road at Derby Street, northbound.
Adena Road	southbound	Derby Street						Adena Road at Derby Street, southbound.
Albemarle Road	eastbound	Brookside Avenue				southern roadway		Albemarle Road, southern roadway, at Brookside Avenue, eastbound.
Albemarle Road	northbound	Crafts Street				eastern roadway		Albemarle Road, eastern roadway, at Crafts Street, northbound.
Albemarle Road	northbound,southbound	North Street				eastern roadway		Albemarle Road, eastern roadway, at North Street, northbound and southbound.
Albemarle Road	southbound	North Street				western roadway		Albemarle Road, western roadway, at North Street, southbound.
Albemarle Road	southbound	Crafts Street				western roadway		Albemarle Road, western roadway, at Crafts Street, southbound.
Albemarle Road	westbound	Eddy Street				northern roadway		Albemarle Road, northern roadway, at Eddy Street, westbound.
Alderwood Road	westbound	Centre Street						Alderwood Road at Centre Street, westbound
Alexander Road	northbound	Walnut Hill Road						Alexander Road at Walnut Hill Road, northbound.
Algonquin Road	southbound	Waban Hill Road						Algonquin Road at Waban Hill Road, southbound.
Allen Avenue	northbound	Beacon Street						Allen Avenue at Beacon Street, northbound.
Allen Avenue	southbound	Woodward Street						Allen Avenue at Woodward Street, southbound.
Allerton Road	eastbound,westbound	Centre Street						Allerton Road at Centre Street, eastbound and westbound.
Allerton Road	westbound	Hyde Street						Allerton Road at Hyde Street, westbound.
Allerton Road	southbound	Rowena Road						Allerton Road at Rowena Road, southbound.
Allston Street	northbound,southbound	Mt. Vernon Street						Allston Street at Mt. Vernon Street, northbound and southbound.
Amherst Road	westbound	Chestnut Street						Amherst Road at Chestnut Street, westbound.
Andrew Street	northbound	Dedham Street						Andrew Street at Dedham Street, northbound.
Angier Circle	westbound	Washington Street						Angier Circle at Washington Street, westbound
Annawan Road	northbound	Waban Avenue						Annawan Road at Waban Avenue, northbound.
Arapahoe Road	southbound	Commonwealth Avenue, North Drive						Arapahoe Road at Commonwealth Avenue, North Drive, southbound.
Arapahoe Road	northeastbound	Greenough Street						Arapahoe Road at Greenough Street, northeastbound.
Arlington Street	southbound	Nonantum Road						Arlington Street at Nonantum Road, southbound.
