street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Aberdeen Street	1	two-hour limit	both		entire length	entire length	7:00 a.m. to 6:00 p.m.	Aberdeen Street (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, entire length.	
Acacia Avenue	1	prohibited	west				Saturdays included; 7:00 a.m. to 7:00 p.m.	Acacia Avenue (1) Prohibited, west side, Saturdays included, 7:00 a.m. to 7:00 p.m.	
Adams Street	1	prohibited	east	Washington Street	a point 100 feet northerly		all times	Adams Street (1) Prohibited, all times, Washington Street to a point 100 feet northerly, east side.	
Adams Street	2	two-hour limit	east	a point 100 feet north of Washington Street	Wiltshire Road		except Saturdays, Sundays and Holidays; 7:00 a.m. – 7:00 p.m.	Adams Street (2) Two-hour limit, except Saturdays, Sundays and Holidays, 7:00 a.m. – 7:00 p.m., from a point 100 feet north of Washington Street to Wiltshire Road, east side.	
Adams Street	3	prohibited	east	Wiltshire Road	a point 40 feet northerly		all times	Adams Street (3) Prohibited, all times, Wiltshire Road to a point 40 feet northerly, east side.	
Adams Street	4	prohibited	east	a point 100 feet south of Middle Street	a point 50 feet north of Middle Street		all times	Adams Street (4) Prohibited, all times, from a point 100 feet south of Middle Street to a point 50 feet north of Middle Street, east side.	
Adams Street	5	two-hour limit	east	a point 50 feet north of Middle Street	Cottage Court		except Saturdays, Sundays and Holidays; 7:00 a.m. – 7:00 p.m.	Adams Street (5) Two-hour limit, except Saturdays, Sundays and Holidays, 7:00 a.m. – 7:00 p.m., from a point 50 feet north of Middle Street to Cottage Court, east side.	
Adams Street	6	parking meter zone	east	Cottage Court	a point 45 feet south of Watertown Street		including Saturdays	Adams Street (6) Parking meter zone, no time limit, 8 a.m. to 6 p.m., including Saturdays, Cottage Court to a point 45 feet south of Watertown Street, east side.	
Adams Street	7	prohibited	east	a point 45 feet south of Watertown Street	California Street		all times	Adams Street (7) Prohibited, all times, from a point 45 feet south of Watertown Street to California Street, east side.	
Adams Street	8	prohibited	west	California Street	a point 50 feet southerly		all times	Adams Street (8) Prohibited, all times, from California Street to a point 50 feet southerly, west side.	
Adams Street	9	two-hour limit	west	a point 50 feet south of California Street	Linwood Avenue		except Saturdays, Sundays and Holidays; 7:00 a.m. – 7:00 p.m.	Adams Street (9) Two-hour limit, 7:00 a.m. – 7:00 p.m., except Saturdays, Sundays and Holidays, from a point 50 feet south of California Street to Linwood Avenue, west side.	
Adams Street	10	prohibited	west	Linwood Avenue	Adams Court		all times	Adams Street (10) Prohibited, all times, from Linwood Avenue to Adams Court, west side.	
Adams Street	11	two-hour limit	west	a point 110 feet south of Adams Court	a point 30 feet north of Clinton Street		except Saturdays, Sundays and Holidays; 7:00 a.m. – 7:00 p.m.	Adams Street (11) Two-hour limit, 7:00 a.m. – 7:00 p.m., except Saturdays, Sundays and Holidays, from a point 110 feet south of Adams Court to a point 30 feet north of Clinton Street, west side.	
Adams Street	12	prohibited	west	a point 30 feet north of Clinton Street	a point 20 feet south of Clinton Street		all times	Adams Street (12) Prohibited, all times, from a point 30 feet north of Clinton Street to a point 20 feet south of Clinton Street, west side.	
Adams Street	13	two-hour limit	west	a point 20 feet south of Clinton Street	a point 50 feet north of Lincoln Road		except Saturdays, Sundays and Holidays; 7:00 a.m. – 7:00 p.m.	Adams Street (13) Two-hour limit, except Saturdays, Sundays and Holidays, 7:00 a.m. – 7:00 p.m., from a point 20 feet south of Clinton Street to a point 50 feet north of Lincoln Road, west side.	
Adams Street	14	prohibited	west	a point 50 feet north of Lincoln Road	a point 90 feet south of Lincoln Road		all times	Adams Street (14) Prohibited, all times, from a point 50 feet north of Lincoln Road to a point 90 feet south of Lincoln Road, west side.	
Adams Street	15	two-hour limit	west	a point 90 feet south of Lincoln Rd	a point 260 feet north of Washington Street		except Saturdays, Sundays and Holidays; 7:00 a.m. – 7:00 p.m.	Adams Street (15) Two-hour limit, except Saturdays, Sundays and Holidays, 7:00 a.m. – 7:00 p.m., from a point 90 feet south of Lincoln Rd to a point 260 feet north of Washington Street, west side.	
Adams Street	16	prohibited	west	a point 260 feet north of Washington Street	Washington Street		all times	Adams Street (16) Prohibited, all times, from a point 260 feet north of Washington Street to Washington Street, west side.	
Adeline Road	1	prohibited	west				school days; 7:00 a.m. to 4:00 p.m.	Adeline Road (1) Prohibited, west side, 7:00 a.m. to 4:00 p.m., school days.	
Adeline Road	2	two-hour limit	east				school days; 7:00 a.m. to 4:00 p.m.	Adeline Road (2) Two-hour limit, east side, 7:00 a.m. to 4:00 p.m., school days.	
Agawam Road	1	prohibited	west	Beacon Street	a point 70 feet southerly		all times; all days, all times; all days	Agawam Road (1) Prohibited, all days, all times, Beacon Street to a point 70 feet southerly, west side.	
Agawam Road	2	one-hour limit	west	a point 70 feet south of Beacon Street	Neshobe Road		8:00 a.m. to 5:00 p.m.	Agawam Road (2) One-hour limit, 8:00 a.m. to 5:00 p.m., from a point 70 feet south of Beacon Street to Neshobe Road, west side, except by Resident Permit as listed in TPR-202.	see TPR-202
Agawam Road	3	one-hour limit	east	Neshobe Road	Beacon Street		8:00 a.m. to 5:00 p.m.	Agawam Road (3) One-hour limit, 8:00 a.m. to 5:00 p.m., Neshobe Road to Beacon Street, east side, except by Resident Permit as listed in TPR-202.	see TPR-202
Albemarle Road	1	prohibited		various segments			all days	Albemarle Road (1) Prohibited, all days: a) East side of western roadway (north of Watertown Street) from Crafts Street to Watertown Street. b) West side of eastern roadway (north of Watertown Street) from Watertown Street to Crafts Street. c) West side of eastern roadway (north of North Street) from Nevada Street to end. d) South side of the northern roadway (south of Watertown Street) from Watertown Street to Eddy Street.	has lettered sub-clauses
