street	side	from_point	to_point	segment_detail	enforcement_window	source_text	notes
Acacia Avenue	both				2h before to 2h after	Acacia Avenue, both sides.	
Academy Road	both				2h before to 2h after	Academy Road, both sides.	
Alderwood Road	both			Centre Street easterly 100 feet	2h before to 2h after	Alderwood Road, both sides, from Centre Street easterly 100 feet.	
Algonquin Road	both				2h before to 2h after	Algonquin Road, both sides.	
Ballard Street	both			Centre Street easterly 100 feet	2h before to 2h after	Ballard Street, both sides, from Centre Street easterly 100 feet.	
Beacon Street	both	Grant Avenue	Hammond Street		2h before to 2h after	Beacon Street, both sides, from Grant Avenue to Hammond Street.	
Bishopsgate Road	both				2h before to 2h after	Bishopsgate Road, both sides.	
Brackett Road	both			Waverley Avenue westerly 100 feet	2h before to 2h after	Brackett Road, both sides, from Waverley Avenue westerly 100 feet.	
Cabot Street	both	Centre Street	Claremont Street		2h before to 2h after	Cabot Street, both sides, from Centre Street to Claremont Street.	
Centre Street	both	Buswell Park	Commonwealth Avenue		2h before to 2h after	Centre Street, both sides, from Buswell Park to Commonwealth Avenue.	
Chestnut Hill Road	both				2h before to 2h after	Chestnut Hill Road, both sides.	
Chestnut Hill Terrace	both				2h before to 2h after	Chestnut Hill Terrace, both sides.	
Clements Road	both			Waverley Avenue westerly 100 feet	2h before to 2h after	Clements Road, both sides, from Waverley Avenue westerly 100 feet.	
Clinton Place	both				2h before to 2h after	Clinton Place, both sides.	
Clovelly Road	both				2h before to 2h after	Clovelly Road, both sides.	
Colby Street	both				2h before to 2h after	Colby Street, both sides.	
College Road	both				2h before to 2h after	College Road, both sides.	
Commonwealth Avenue, North Drive	north	Centre Street	Irving Street		2h before to 2h after	Commonwealth Avenue, North Drive (1) north side, from Centre Street to Irving Street.	sub-clause (1) of Commonwealth Avenue, North Drive
Commonwealth Avenue, North Drive	north	a point 300 feet east of Irving Street	Boston city line		2h before to 2h after	Commonwealth Avenue, North Drive (2) north side, from a point 300 feet east of Irving Street to Boston city line.	sub-clause (2) of Commonwealth Avenue, North Drive
Commonwealth Avenue, North Drive	south	Centre Street	Boston city line		2h before to 2h after	Commonwealth Avenue, North Drive (3) south side, from Centre Street to Boston city line.	sub-clause (3) of Commonwealth Avenue, North Drive
Commonwealth Avenue, South Drive	north	Centre Street	Manet Road		2h before to 2h after	Commonwealth Avenue, South Drive (1) north side, from Centre Street to Manet Road.	sub-clause (1) of Commonwealth Avenue, South Drive
Commonwealth Avenue, South Drive	south	a point 300 feet east of Centre Street	Chestnut Terrace		2h before to 2h after	Commonwealth Avenue, South Drive (2) south side, from a point 300 feet east of Centre Street to Chestnut Terrace.	sub-clause (2) of Commonwealth Avenue, South Drive
