location,address,direction,distance,side,notes
740 Beacon Street,740 Beacon Street,southerly,60 feet,east side,from the edge of the sidewalk
31-49 Boylston Street,31-49 Boylston Street,,,roadway,against the building in the rear of 31,37,43,47, and 49 Boylston Street
Cabot School Bridges-to-Parkview Connector Roadway,,,,,south side
Crystal Lake Bathhouse Parking Lot,30 Rogers Street,,,,center drive aisle
390-398 Cherry Street,390-398 Cherry Street,easterly,50 feet,,from the sidewalk
YMCA,276 Church Street,,,,the driveway between the marked parking areas and immediately in front of the YMCA building
Elm Road,,westerly,74 feet,both sides,from Walnut Street
Hammond Pond Parkway,2 Hammond Pond Parkway,,200 feet,,the driveway to the left of two accessible parking spaces commencing from the sidewalk to the rear of the building
Heartland Plaza,Watertown Street,westerly,200 feet,,Stop & Shop on Watertown Street - the roadway in front of the Heartland Plaza from the Watertown line
Kempton Place,,northerly,170 feet,both sides,from Washington Street
Melrose Avenue,,,,both sides,from Lexington Street to Melrose Street
Marshall's Mall,275 Needham Street,northerly,500 feet,,the roadway in front of the Marshall's Mall from Needham Street
