street	side	cross_street	offset_feet	offset_direction	to_offset_feet	length_feet	extent_direction	spaces	address_number	location_detail	notes	source_text
Adams Street	north	Centre Street	220			20	west					Adams Street: north side, 220 feet from Centre Street, westerly 20 feet.
Albemarle Road	east	Watertown Street	185	north	390			6		eastern roadway		Albemarle Road: eastern roadway, east side, from a point 185 feet north of Watertown Street to a point 390 feet north of Watertown Street (6 spaces).
Albemarle Road	east	Watertown Street	530	north	600			3		eastern roadway		Albemarle Road: eastern roadway, east side, from a point 530 feet north of Watertown Street to a point 600 feet north of Watertown Street (3 spaces).
Albemarle Road	east	Watertown Street	1355	north	1395			3		eastern roadway		Albemarle Road: eastern roadway, east side, from a point 1355 feet north of Watertown Street to a point 1395 feet north of Watertown Street (3 spaces).
Albemarle Road	east	Watertown Street	1545	north	1575			2		eastern roadway		Albemarle Road: eastern roadway, east side, from a point 1545 feet north of Watertown Street to a point 1575 feet north of Watertown Street (2 spaces).
Armory Street	west	Washington Street	300	north								Armory Street: west side, 300 feet north of Washington Street.
Armory Street	west	Washington Street	320	north								Armory Street: west side, 320 feet north of Washington Street.
Armory Street	west	Washington Street	230	north			north			to end		Armory Street: west side, 230 feet north of Washington Street, northerly to end.
Ash Street	north									opposite Auburndale Brach library	'Brach' sic in source (Branch)	Ash Street: north side, opposite Auburndale Brach library.
Aspen Avenue	north	Forest Avenue	130	west		28	west					Aspen Avenue: north side, 130 feet west of Forest Avenue, westerly 28 feet.
Auburn Street	north	Lexington Street	248	west		32	west					Auburn Street: north side, 248 feet west of Lexington Street, westerly 32 feet.
Beacon Street	north	Centre Street	60	west		20	west					Beacon Street, north side, from a point 60 feet west of Centre Street, 20 feet westerly.
Beech Street								16				Beech Street: in front of 16 Beech Street.
Bowen Street	south	Centre Street	435	west		20	west					Bowen Street: south side, 435 feet west of Centre Street, 20 feet westerly.
Bowen Street	south	Centre Street	460	west		20	west					Bowen Street: south side, 460 feet west of Centre Street, 20 feet westerly.
Centre Green	east	Lyman Street	95	south		30	south					Centre Green: east side, from a point 95 feet south of Lyman Street, southerly 30 feet.
Centre Green		Langley Road	40	north		20	south					Centre Green: From a point 40 feet north of Langley Road, 20 feet southerly.
Centre Street	west	Pleasant Street	40	south		20	south					Centre Street: west side, from a point 40 feet south of Pleasant Street, southerly 20 feet.
Chapel Street								154				Chapel Street, in front of 154 Chapel Street.
Chestnut Street	north	Oak Street	290	east		20	east					Chestnut Street, north side, from a point 290' east of Oak Street, 20' easterly.
Chestnut Street	north	Oak Street	320	east		20	east					Chestnut Street, north side, from a point 320' east of Oak Street, 20' easterly.
Chestnut Street	south	Oak Street	110	east	135							Chestnut Street, south side, from a point 110' east of Oak Street to a point 135' east of Oak Street.
Commonwealth Avenue										on either side of the front pathway to Street Ignatius Church	'Street Ignatius' sic in source (St. Ignatius)	Commonwealth Avenue: On either side of the front pathway to Street Ignatius Church.
Commonwealth Avenue	south	Melrose Street	231	east		22	east			south Drive		Commonwealth Avenue: south side, south Drive, 231 feet east of Melrose Street, easterly 22 feet.
Commonwealth Avenue, South Drive	south	Chestnut Terrace	125	east		20	east					Commonwealth Avenue, South Drive, South Side, from a point 125 feet east of Chestnut Terrace, 20 feet easterly.
Coyne Road									18-20	in front of 18-20 Coyne Road		Coyne Road: in front of 18-20 Coyne Road.
