street	locality	side	from_point	from_offset_feet	from_offset_direction	to_point	to_offset_feet	to_offset_direction	extent	times	notes	source_text
Abbott Street	Newton Upper Falls	both							entire length			Abbott Street, Newton Upper Falls: both sides, entire length.
Agawam Road		both	Beacon Street			Neshobe Road						Agawam Road: both sides, Beacon Street to Neshobe Road.
Allerton Road		south	Hyde Street			Centre Street						Allerton Road, south side, from Hyde Street to Centre Street.
Brentwood Avenue		both	Walnut Street			Judith Road						Brentwood Avenue: both sides, from Walnut Street to Judith Road.
Carleton Street		north	Pearl Street	350	north	Centre Street						Carleton Street, north side, from a point 350 feet north of Pearl Street to Centre Street.
Carthay Circle	Newton Highlands	both							entire length			Carthay Circle: Newton Highlands: both sides, entire length.
Commonwealth Avenue, North Drive		north	Waban Hill Road			Mt. Alvernia Road	422	west				Commonwealth Avenue: North Drive, north side, from Waban Hill Road westerly to a point 422 feet west of Mt. Alvernia Road.
Crescent Avenue		east	Pleasant Street			Beacon Street						Crescent Avenue: east side, from Pleasant Street to Beacon Street.
Crosby Road		west							entire length			Crosby Road: west side, entire length.
Eldredge Street		east	Franklin Street			Church Street						Eldredge Street: east side, Franklin Street to Church Street.
Garland Road		west	Beacon Street			Brentwood Avenue						Garland Road: west side, from Beacon Street to Brentwood Avenue.
Gibbs Street		east	Everett Street			Everett Street	150	north				(1) East side, from Everett Street to a point 150 feet north of Everett Street.
Gibbs Street		north	Everett Street	310	north	Centre Street	50	east				(2) North side, from a point 310 feet north of Everett Street to a point 50 feet east of Centre Street.
Judith Road		both							entire length			Judith Road: both sides, entire length.
Lawrence Avenue		west							entire length			Lawrence Avenue, west side, entire length.
Longfellow Road		south	Washington Street	100	east	end						Longfellow Road, south side, from a point 100 feet east of Washington Street to end.
Manet Road		east							entire length			Manet Road: east side, entire length.
Norman Road		west										Norman Road, west side.
Oxford Road		both	Paul Street			Browning Road						Oxford Road, both sides, Paul Street to Browning Road.
Peabody Street		east							entire length			Peabody Street: east side, entire length.
Peabody Street											administrative provision: visitor-permit eligibility for corner lots contiguous to Peabody Street; not a mappable segment	(1) Beginning January 1, 2016, a maximum of 1 visitor permit will be made available to residents of dwelling units located on corner lots which are contiguous to a lot that borders Peabody Street. These visitor permits are to continue to be made available on an annual basis, but only to residents living in these dwelling units who have a current Peabody Street resident permit or visitor pass. Resident of dwelling units located on corner lots which are contiguous to a lot that borders Peabody Street, but who do not currently have a Peabody Street visitor permit or resident sticker will not be entitled to obtain one.
Pelham Street		north	entrance of the municipal parking lot			Crescent Avenue						Pelham Street: north side, from the entrance of the municipal parking lot to Crescent Avenue.
Samoset Road	Waban	both							entire length			Samoset Road, Waban: both sides, entire length.
Tanglewood Road		both							entire length	07:00-19:00		Tanglewood Road: both sides, 7:00 a.m. to 7:00 p.m., entire length.
Turner Street		south							entire length			Turner Street: south side, entire length.
Waban Hill Road/Waban Hill Road North		both							entire length			Waban Hill Road/Waban Hill Road North: both sides, entire length.
Waban Park		north							entire length		north drive along the reservation	(1) north side of the north drive along the reservation, entire length.
Waban Park		south							entire length		south drive along the reservation	(2) south side of the south drive along the reservation, entire length.
