street	district	from_point	to_point	segment_note	notes	source_text
Atwood Avenue	Newtonville					Atwood Avenue
Beaumont Avenue	Newtonville					Beaumont Avenue
Blithedale Street	Newtonville					Blithedale Street
Bolton Road	Newtonville					Bolton Road
Bonwood Street	Newtonville					Bonwood Street
Bullough Park	Newtonville	Mill Street	Berkshire Road			Bullough Park (Mill Street to Berkshire Road)
Calvin Road	Newtonville					Calvin Road
Charlesden Park	Newtonville					Charlesden Park
Claflin Place	Newtonville					Claflin Place
Clyde Street	Newtonville					Clyde Street
Craigie Terrace	Newtonville					Craigie Terrace
Dexter Road	Newtonville					Dexter Road
Elmwood Park	Newtonville					Elmwood Park
Fairfield Street	Newtonville					Fairfield Street
Frederick Street	Newtonville					Frederick Street
Gay Street	Newtonville					Gay Street
Greylock Road	Newtonville					Greylock Road
Grove Hill Avenue	Newtonville					Grove Hill Avenue
Grove Hill Park	Newtonville					Grove Hill Park
Highland Avenue	Newtonville	Philip Bram Way	Gray Birch Terrace			Highland Avenue (Philip Bram Way to Gray Birch Terrace)
Highland Street	Newtonville	Lowell Avenue	Walden Street			Highland Street (Lowell Avenue to Walden Street)
Kimball Terrace	Newtonville					Kimball Terrace
Kirkstall Road	Newtonville	Walnut Street	Upland Road			Kirkstall Road (Walnut Street to Upland Road)
Lakeview Avenue	Newtonville					Lakeview Avenue
Lowell Avenue	Newtonville	Austin Street	Commonwealth Avenue	except for areas identified as TIGER Permit Parking		Lowell Avenue (Austin Street to Commonwealth Avenue, except for areas identified as TIGER Permit Parking)
Mill Street	Newtonville	Walnut Street	Upland Road			Mill Street (Walnut Street to Upland Road)
Oakwood Road	Newtonville	Woodside Road	Upland Road			Oakwood Road (Woodside Road to Upland Road)
Otis Street	Newtonville	Walnut Street	Walden Road			Otis Street (Walnut Street to Walden Road)
Pheasant Road	Newtonville					Pheasant Road
Phillips Lane	Newtonville					Phillips Lane
Prospect Avenue	Newtonville					Prospect Avenue
Pulsifer Street	Newtonville					Pulsifer Street
Russell Court	Newtonville					Russell Court
Scarsdale Road	Newtonville					Scarsdale Road
Sheffield Road	Newtonville					Sheffield Road
Trowbridge Avenue	Newtonville					Trowbridge Avenue
Upland Road	Newtonville	Mill Street	Kirkstall Road			Upland Road (Mill Street to Kirkstall Road)
Walden Street	Newtonville					Walden Street
Walnut Place	Newtonville					Walnut Place
Walnut Street	Newtonville	Walnut Place	Commonwealth Avenue			Walnut Street (Walnut Place to Commonwealth Avenue)
Woodside Road	Newtonville					Woodside Road
