street	restriction	side	from_point	to_point	segment_detail	schedule	source_text	notes
	blanket prohibition						"Any vehicle parked in violation of section 19-177, entitled ""Football game day parking regulations."	applies city-wide (tow-away)
	blanket prohibition						In any fire lane at any time.	applies city-wide (tow-away)
	blanket prohibition						In any bus stop at any time.	applies city-wide (tow-away)
Acacia Avenue	tow-away zone	east				Monday through Saturday	Acacia Avenue — Tow-away zone, east side, Monday through Saturday.	
Adams Court	tow-away zone	south			entire length		Adams Court (1) Tow-away zone, prohibited, south side, entire length.	sub-clause (1)
Adams Court	tow-away zone	north			from Adams Street westerly 140 feet		Adams Court (2) Tow-away zone, prohibited, north side, from Adams Street westerly 140 feet.	sub-clause (2)
Adams Street	tow-away zone	west	the intersection of Watertown Street southerly	Adams			Adams Street — Tow-away zone, west side, from the intersection of Watertown Street southerly to Adams	
Austin Street	tow-away zone	north			from a point 340 feet west of Walnut Street westerly a distance of		Austin Street — Tow-away zone, north side, from a point 340 feet west of Walnut Street westerly a distance of	
Bacon Street	tow-away zone	both			entire length		Bacon Street — Tow-away zone, both sides, entire length.	
Beacon Street	tow-away zone	north			from Hammond Street easterly 300 feet		Beacon Street (1) Tow-away zone, north side, from Hammond Street easterly 300 feet.	sub-clause (1)
Beacon Street	tow-away zone	north	a point 420 feet east of Hammond Street	Hammond Street			Beacon Street (2) Tow-away zone, north side, from a point 420 feet east of Hammond Street to Hammond Street.	sub-clause (2)
Beacon Street	tow-away zone	south	Hammond Street	a point 750 east of Hammond Street			Beacon Street (3) Tow-away, zone south side, from Hammond Street to a point 750 east of Hammond Street.	sub-clause (3)
Beacon Street	tow-away zone	south	Stone Avenue	Boston City Line			Beacon Street (4) Tow-away, zone south side, from Stone Avenue to Boston City Line.	sub-clause (4)
California Street	tow-away zone	north			from exit driveway of Newton Post #440, easterly 120 feet		California Street — Tow-away zone, north side, from exit driveway of Newton Post #440, easterly 120 feet.	
Chestnut Street	tow-away zone	both	off-ramp	on-ramp at Boylston Street			Chestnut Street — Tow-away zone, both sides, between off-ramp and on-ramp at Boylston Street. (Route 9)	
College Road	tow-away zone	both					College Road — Tow-away zone, both sides.	
Commonwealth Avenue	tow-away zone	south			from a point 500 feet west of the Boston/Newton city line westerly 75 feet		Commonwealth Avenue (1) Tow-away zone, south side, from a point 500 feet west of the Boston/Newton city line westerly 75 feet.	sub-clause (1)
Commonwealth Avenue	tow-away zone	north	Boston line	Grant Avenue			Commonwealth Avenue (2) Tow-away zone, north side, from Boston line to Grant Avenue.	sub-clause (2)
Commonwealth Avenue	tow-away zone	south	a point 170 feet west of Grant Avenue	a point 235 feet west of Hobart Road			Commonwealth Avenue (3) Tow-away zone, south side, from a point 170 feet west of Grant Avenue to a point 235 feet west of Hobart Road.	sub-clause (3)
Commonwealth Avenue	tow-away zone	south	a point 225 feet west of Wachusett Road	a point 160 feet east of Hammond Street			Commonwealth Avenue (4) Tow-away zone, south side, from a point 225 feet west of Wachusett Road to a point 160 feet east of Hammond Street.	sub-clause (4)
Commonwealth Avenue	tow-away zone	south	College Road	a point 450 feet east of College Road			Commonwealth Avenue (5) Tow-away zone, south side, from College Road to a point 450 feet east of College Road.	sub-clause (5)
