street,direction,segment_description,start_point,offset_miles,length_miles,speed_mph,notes
Adams Street,northbound,from Washington Street to California Street,Washington Street,0.00,0.82,25,
Adams Street,southbound,from California Street to Washington Street,California Street,0.00,0.82,25,
Algonquin Road,northbound,from Commonwealth Avenue to Woodchester Drive,Commonwealth Avenue,0.00,0.34,25,
Auburn Street,westbound,from Washington Street to point 0.84 miles west,Washington Street,0.00,0.84,25,
Auburn Street,westbound,from point 0.84 miles west of Washington Street to Commonwealth Avenue,Washington Street,0.84,0.52,30,
Auburn Street,eastbound,from Commonwealth Avenue to point 0.52 miles east,Commonwealth Avenue,0.00,0.52,30,
Auburn Street,eastbound,from point 0.52 miles east of Commonwealth Avenue to Washington Street,Commonwealth Avenue,0.52,0.84,25,
Auburndale Avenue,eastbound,from Lexington Street to River Street,Lexington Street,0.00,0.91,25,
Auburndale Avenue,westbound,from River Street to Lexington Street,River Street,0.00,0.91,25,
Berkeley Street,eastbound,from point 100 feet east of Temple Street to point 0.23 miles east,Temple Street,0.02,0.23,25,
Berkeley Street,eastbound,from point 0.25 miles east of Temple Street to Chestnut Street,Temple Street,0.25,0.16,30,
Berkeley Street,westbound,from Chestnut Street to point 0.16 miles west,Chestnut Street,0.00,0.16,30,
Berkeley Street,westbound,from point 0.16 miles west of Chestnut Street to Temple Street,Chestnut Street,0.16,0.23,25,
Brandeis Road and Lion Drive,eastbound,from Parker Terrace to point 0.33 miles east,Parker Terrace,0.00,0.33,30,
Brandeis Road and Lion Drive,eastbound,from point 0.33 miles east of Parker Terrace to Greenwood Street,Parker Terrace,0.33,0.52,25,
Brookline Street,eastbound,from Dedham Street to Newton-Brookline line,Dedham Street,0.00,1.12,30,
Brookline Street,westbound,from Newton-Brookline line to Dedham Street,Newton-Brookline line,0.00,1.12,30,
Cabot Street,eastbound,from Walnut Street to point 0.27 miles east,Walnut Street,0.00,0.27,30,
Cabot Street,eastbound,from point 0.27 miles east of Walnut Street to point 0.66 miles east,Walnut Street,0.27,0.39,25,
Cabot Street,eastbound,from point 0.66 miles east of Walnut Street to Centre Street,Walnut Street,0.66,0.25,20,
Cabot Street,westbound,from Centre Street to point 0.25 miles west,Centre Street,0.00,0.25,20,
Cabot Street,westbound,from point 0.25 miles west of Centre Street to point 0.64 miles west,Centre Street,0.25,0.39,25,
Cabot Street,westbound,from point 0.64 miles west of Centre Street to Walnut Street,Centre Street,0.64,0.27,30,
California Street,northbound,from Crafts Street to point 0.51 miles north,Crafts Street,0.00,0.51,30,
California Street,northbound,from point 0.51 miles north of Crafts Street to point 0.65 miles north,Crafts Street,0.51,0.14,20,
California Street,northbound,from point 0.65 miles north of Crafts Street to Newton-Watertown line,Crafts Street,0.65,0.50,30,
California Street,southbound,from Newton-Watertown line to point 0.50 miles south,Newton-Watertown line,0.00,0.50,30,
California Street,southbound,from point 0.50 miles south of Newton-Watertown line to point 0.64 miles south,Newton-Watertown line,0.50,0.14,20,
California Street,southbound,from point 0.64 miles south of Newton-Watertown line to Crafts Street,Newton-Watertown line,0.64,0.51,30,
Centre Street,northbound,from point 150 feet north of Route 9 overpass to point 0.14 miles north,Route 9 overpass,0.03,0.14,25,
Centre Street,northbound,from point 0.17 miles north of Route 9 overpass to point 0.66 miles north,Route 9 overpass,0.17,0.49,35,
Centre Street,northbound,from point 0.66 miles north of Route 9 overpass to point 1.25 miles north,Route 9 overpass,0.66,0.59,25,
Centre Street,northbound,from point 1.25 miles north of Route 9 overpass to point 2.43 miles north,Route 9 overpass,1.25,1.18,30,
Centre Street,northbound,from point 2.43 miles north of Route 9 overpass to Washington Street,Route 9 overpass,2.43,0.43,25,
Centre Street,southbound,from Washington Street to point 0.43 miles south,Washington Street,0.00,0.43,25,
Centre Street,southbound,from point 0.43 miles south of Washington Street to point 1.61 miles south,Washington Street,0.43,1.18,30,
Centre Street,southbound,from point 1.61 miles south of Washington Street to point 2.20 miles south,Washington Street,1.61,0.59,25,
Centre Street,southbound,from point 2.20 miles south of Washington Street to point 2.69 miles south,Washington Street,2.20,0.49,35,
Centre Street,southbound,from point 2.69 miles south of Washington Street to Route 9 overpass,Washington Street,2.69,0.17,25,
Chamberlain Road,eastbound,from Farlow Road to Huntington Road,Farlow Road,0.00,0.06,15,
Chamberlain Road,westbound,from Huntington Road to Farlow Road,Huntington Road,0.00,0.06,15,
Charlesbank Road,eastbound,from Saint James Street to point 100 feet west of Nonantum Street,Saint James Street,0.00,0.29,30,
Charlesbank Road,westbound,from point 100 feet west of Nonantum Road to point 0.29 miles west,Nonantum Road,0.02,0.29,30,
Charlesbank Road,westbound,from point 0.31 miles west of Nonantum Road to St. James Street,Nonantum Road,0.31,0.27,20,
Cherry Place,eastbound,from Marion Street to Sheridan Street,Marion Street,0.00,0.18,25,
Cherry Place,westbound,from Cherry Street to Sheridan Street,Cherry Street,0.00,0.18,25,
Cherry Street,northbound,from Watertown Street to point 0.28 miles north,Watertown Street,0.00,0.28,25,
Cherry Street,northbound,from point 0.28 miles north of Watertown Street to Newton-Waltham Line,Watertown Street,0.28,0.75,30,
Cherry Street,southbound,from Newton-Waltham Line to point 0.75 miles south,Newton-Waltham Line,0.00,0.75,30,
Cherry Street,southbound,from point 0.75 miles south of Newton-Waltham Line to Watertown Street,Newton-Waltham Line,0.75,0.28,25,
Chestnut Street,northbound,from Oak Street to point 0.74 miles north,Oak Street,0.00,0.74,25,
Chestnut Street,northbound,from point 0.74 miles north of Oak Street to point 1.48 miles north,Oak Street,0.74,0.74,30,
Chestnut Street,northbound,from point 1.48 miles north of Oak Street to point 1.80 miles north,Oak Street,1.48,0.32,20,
Chestnut Street,northbound,from point 1.80 miles north of Oak Street to Washington Street,Oak Street,1.80,1.18,30,
