street	direction	entry_type	start_point	end_point	length_miles	offset_miles	speed_mph	source_text	notes
Adams Street	northbound	stanza	Washington Street	California Street	0.82	0.0	25	Adams Street, northbound, beginning at the junction of Washington Street, thence northerly on Adams Street: 0.82 miles at 25 miles per hour ending at the junction of California Street; the total distance being 0.82 miles.	
Adams Street	southbound	stanza	California Street	Washington Street	0.82	0.0	25	Adams Street, southbound, beginning at the junction of California Street, thence southerly on Adams Street: 0.82 miles at 25 miles per hour ending at the junction of Washington Street; the total distance being 0.82 miles.	
Auburn Street	westbound	stanza	Washington Street		0.84	0.0	25	Auburn Street, westbound, beginning at Washington Street, thence westerly on Auburn Street: 0.84 miles at 25 miles per hour 0.52 miles at 30 miles per hour ending at Commonwealth Avenue; the total distance being 1.36 miles.	segment 1 of 2
Auburn Street	westbound	stanza		Commonwealth Avenue	0.52	0.84	30	Auburn Street, westbound, beginning at Washington Street, thence westerly on Auburn Street: 0.84 miles at 25 miles per hour 0.52 miles at 30 miles per hour ending at Commonwealth Avenue; the total distance being 1.36 miles.	segment 2 of 2
Auburn Street	eastbound	stanza	Commonwealth Avenue		0.52	0.0	30	Auburn Street, eastbound, beginning at Commonwealth Avenue, thence easterly on Auburn Street: 0.52 miles at 30 miles per hour 0.84 miles at 25 miles per hour ending at Washington Street; the total distance being 1.36 miles. 0.52 miles at 30 miles per hour 0.84 miles at 25 miles per hour ending at Washington Street; the total distance being 1.36 miles.	segment 1 of 2
Auburn Street	eastbound	stanza		Washington Street	0.84	0.52	25	Auburn Street, eastbound, beginning at Commonwealth Avenue, thence easterly on Auburn Street: 0.52 miles at 30 miles per hour 0.84 miles at 25 miles per hour ending at Washington Street; the total distance being 1.36 miles. 0.52 miles at 30 miles per hour 0.84 miles at 25 miles per hour ending at Washington Street; the total distance being 1.36 miles.	segment 2 of 2
Auburndale Avenue	eastbound	stanza	Lexington Street	River Street	0.91	0.0	25	Auburndale Avenue, eastbound, beginning at Lexington Street, thence easterly on Auburndale Avenue: 0.91 miles at 25 miles per hour ending at River Street; the total distance being 0.91 miles.	
Auburndale Avenue	westbound	stanza	River Street	Lexington Street	0.91	0.0	25	Auburndale Avenue, westbound, beginning at River Street, thence westerly on Auburndale Avenue: 0.91 miles at 25 miles per hour ending at Lexington Street; the total distance being 0.91 miles.	
Berkeley Street	eastbound	stanza	100 feet east of Temple Street		0.23	0.0	25	Berkeley Street, eastbound, beginning 100 feet east of Temple Street, thence easterly on Berkeley Street: 0.23 miles at 25 miles per hour 0.16 miles at 30 miles per hour ending at Chestnut Street; the total distance being 0.39 miles.	segment 1 of 2
Berkeley Street	eastbound	stanza		Chestnut Street	0.16	0.23	30	Berkeley Street, eastbound, beginning 100 feet east of Temple Street, thence easterly on Berkeley Street: 0.23 miles at 25 miles per hour 0.16 miles at 30 miles per hour ending at Chestnut Street; the total distance being 0.39 miles.	segment 2 of 2
Berkeley Street	westbound	stanza	Chestnut Street		0.16	0.0	30	Berkeley Street, westbound, beginning at Chestnut Street, thence westerly on Berkeley Street: 0.16 miles at 30 miles per hour 0.23 miles at 25 miles per hour ending at Chestnut Street; the total distance being 0.39 miles.	segment 1 of 2
Berkeley Street	westbound	stanza		Chestnut Street	0.23	0.16	25	Berkeley Street, westbound, beginning at Chestnut Street, thence westerly on Berkeley Street: 0.16 miles at 30 miles per hour 0.23 miles at 25 miles per hour ending at Chestnut Street; the total distance being 0.39 miles.	segment 2 of 2
Brandeis Road and Lion Drive	eastbound	stanza	Parker Terrace		0.33	0.0	30	Brandeis Road and Lion Drive, eastbound, beginning at Parker Terrace, thence easterly on Brandeis Road and 0.33 miles at 30 miles per hour 0.52 miles at 25 miles per hour ending at Greenwood Street, the total distance being zero and eighty-five hundredths (0.85) mile.	segment 1 of 2
Brandeis Road and Lion Drive	eastbound	stanza		Greenwood Street	0.52	0.33	25	Brandeis Road and Lion Drive, eastbound, beginning at Parker Terrace, thence easterly on Brandeis Road and 0.33 miles at 30 miles per hour 0.52 miles at 25 miles per hour ending at Greenwood Street, the total distance being zero and eighty-five hundredths (0.85) mile.	segment 2 of 2
Brookline Street	eastbound	stanza	Dedham Street	the Newton-Brookline line	1.12	0.0	30	Brookline Street, eastbound, beginning at Dedham Street, thence easterly on Brookline Street: 1.12 miles at 30 miles per hour ending at the Newton-Brookline line; the total distance being 1.12 miles.	
Brookline Street	westbound	stanza	the Newton-Brookline line	Dedham Street	1.12	0.0	30	Brookline Street, westbound, beginning at the Newton-Brookline line, thence westerly on Brookline Street: 1.12 miles at 30 miles per hour ending at Dedham Street; the total distance being 1.12 miles.	
Chamberlain Road	eastbound	stanza	Farlow Road	Huntington Road	0.06	0.0	15	Chamberlain Road, eastbound, beginning at Farlow Road, thence easterly on Chamberlain Road: 0.06 miles at 15 miles per hour ending at Huntington Road; the total distance being 0.06 miles.	
Chamberlain Road	westbound	stanza	Huntington Road	Farlow Road	0.06	0.0	15	Chamberlain Road, westbound, beginning at Huntington Road, thence easterly on Chamberlain Road: 0.06 miles at 15 miles per hour ending at Farlow Road; the total distance being 0.06 miles.	
