street	roadway	direction	from_point	from_offset_feet	from_offset_direction	to_point	to_offset_feet	to_offset_direction	length_feet	exception	location_detail	notes	source_text
Acacia Avenue			Beacon Street			Lee Road							Acacia Avenue, from Beacon Street to Lee Road.
Albemarle Road	Southern roadway		Eddy Street			Brookside Avenue							Albemarle Road: (1) Southern roadway, from Eddy Street to Brookside Avenue.
Albemarle Road	Eastern roadway		Watertown Street			Crafts Street							Albemarle Road: (2) Eastern roadway, from Watertown Street to Crafts Street.
Albemarle Road	Western and northern roadway		North Street			Eddy Street							Albemarle Road: (3) Western and northern roadway, from North Street to Eddy Street.
Arlington Street			Waverley Avenue			Park Street							Arlington Street, from Waverley Avenue to Park Street.
Ash Street			Auburn Street			Commonwealth Avenue							Ash Street, from Auburn Street to Commonwealth Avenue.
Bacon Street			Washington Street			Pearl Street							Bacon Street, from Washington Street to Pearl Street.
Baldpate Hill Road		northeastbound	Brookline Street	450	west				50		on the southwest leg	source repeats '50 feet' and states 'one way' redundantly; 'north eastbound' split in source	Baldpate Hill Road, from a point 450 feet west of Brookline Street continuing 50 feet on the southwest leg, one way, north eastbound, 50 feet.
Baldwin Street		southbound	Elmwood Street			Vernon Street							Baldwin Street, from Elmwood Street southerly to Vernon Street.
Bowen Street		westbound	Centre Street			Homer Street							Bowen Street, from Centre Street westerly to Homer Street.
Braeland Avenue		westbound	Langley Road			Herrick Road							Braeland Avenue, from Langley Road westerly to Herrick Road.
Bridges Avenue			Norwood Avenue			Cabot Street							Bridges Avenue, from Norwood Avenue to Cabot Street.
Brookside Avenue			Albemarle Road			Watertown Street							Brookside Avenue, from Albemarle Road to Watertown Street.
Cabot School Bridges-to-Parkview Connector Roadway			Bridges Avenue			Parkview Avenue							Cabot School Bridges-to-Parkview Connector Roadway, from Bridges Avenue to Parkview Avenue.
Carleton Street			Pearl Street			Centre Street							Carleton Street, from Pearl Street to Centre Street.
Centre Avenue		eastbound	Massachusetts Turnpike ramp			Centre Street							Centre Avenue, from the Massachusetts Turnpike ramp easterly to Centre Street.
Centre Green		southbound	Lyman Street			Langley Road							Centre Green, from Lyman Street southerly to Langley Road.
Centre Street			Langley Road			Lyman Street					on that part of Centre Street known as Centre Green		Centre Street: (1) from Langley Road to Lyman Street on that part of Centre Street known as Centre Green.
Centre Street		eastbound	Centre Avenue			Washington Street							Centre Street: (2) from Centre Avenue easterly to Washington Street.
Channing Street			Washington Street			Pearl Street							Channing Street, from Washington Street to Pearl Street.
Charlesbank Road		westbound	St. James Street			Centre Street							Charlesbank Road, westerly from St. James Street to Centre Street.
Chestnut Terrace			Marshall Street			Commonwealth Avenue							Chestnut Terrace, from Marshall Street to Commonwealth Avenue.
College Road			Hammond Street			Beacon Street							College Road: (1) from Hammond Street to Beacon Street.
College Road			Hammond Street			Commonwealth Avenue							College Road: (2) from Hammond Street to Commonwealth Avenue.
Collins Road		northbound	Collins Road/Collins Road intersection			Beacon Street						self-intersection as written in source	Collins Road, northbound, from the Collins Road/Collins Road intersection to Beacon Street.
Columbia Avenue			Winchester Street			Kenneth Street				non-motorized vehicles			Columbia Avenue, from Winchester Street to Kenneth Street, except non-motorized vehicles.
Commonwealth Avenue	North Drive	westbound	Boston line						215				Commonwealth Avenue: (1) North Drive from the Boston line two hundred fifteen (215) feet westerly.
Commonwealth Avenue	North Drive	westbound	Boston line	215	west	Mt. Alvernia Road							Commonwealth Avenue: (2) North Drive, from a point 215 ft west of the Boston line westerly to Mt. Alvernia Road.
Commonwealth Avenue	North Drive	westbound	Mt. Alvernia Road			Bullough Park				non-motorized vehicles			Commonwealth Avenue: (3) North Drive, from Mt. Alvernia Road westerly to Bullough Park, except non-motorized vehicles.
Commonwealth Avenue	crossover		main portion of Commonwealth Avenue (south drive)			Commonwealth Avenue Carriage Lane (north drive)					opposite Water Street	from/to assigned by the 'from'/'to' words, not text order	Commonwealth Avenue: (4) Crossing over to Commonwealth Avenue Carriage Lane (north drive) from the main portion of Commonwealth Avenue (south drive), opposite Water Street.
Commonwealth Avenue	North Drive	westbound	Beaumont Avenue			Windermere Road	165	east		non-motorized vehicles			Commonwealth Avenue: (5) North Drive, from Beaumont Avenue westerly to a point 165 feet east of Windermere Road, except non-motorized vehicles.
Commonwealth Avenue	North Drive	westbound	Windermere Road			Robinhood Street				non-motorized vehicles			Commonwealth Avenue: (6) North Drive, from Windermere Road westerly to Robinhood Street, except non-motorized vehicles.
Commonwealth Avenue	North Drive	westbound	Rowe Street			Ash Street				non-motorized vehicles			Commonwealth Avenue: (7) North Drive, from Rowe Street westerly to Ash Street, except non-motorized vehicles.
Commonwealth Avenue	North Drive	eastbound	Islington Road			Ash Street				non-motorized vehicles			Commonwealth Avenue: (8) North Drive, from Islington Road easterly to Ash Street, except non-motorized vehicles.
Commonwealth Avenue	North Drive	westbound	Islington Road			Woodbine Street				non-motorized vehicles			Commonwealth Avenue: (9) North Drive, from Islington Road westerly to Woodbine Street, except non-motorized vehicles.
Commonwealth Avenue	North Drive		Woodbine Street			west end of the median strip near the Weston line							Commonwealth Avenue: (10) North Drive, from Woodbine Street to the west end of the median strip near the Weston line.
Commonwealth Avenue	South Drive	eastbound	Windermere Street	100	southeast	Day Street							Commonwealth Avenue: (11) South Drive from a point one hundred (100) feet southeast of Windermere Street easterly to Day Street.
Commonwealth Avenue	South Drive	eastbound	Boston line	187.5	west	Boston line							Commonwealth Avenue: (12) South Drive, from a point one hundred eighty-seven and five-tenths (187.5) feet west of the Boston line, easterly to the Boston line.
Commonwealth Avenue	crossover		Commonwealth Avenue Carriage Lane (north drive)			main portion of Commonwealth Avenue (south drive)					at Rowe Street west intersection		Commonwealth Avenue: (13) Crossing over the Commonwealth Avenue Carriage Lane (north drive) to the main portion of Commonwealth Avenue (south drive), at Rowe Street west intersection.
Commonwealth Avenue	South Drive	eastbound	near Auburn Street			Woodbine Street							Commonwealth Avenue: (14) South Drive, from near Auburn Street easterly to Woodbine Street.
Court Street			Central Avenue			No. 22						'No. 22' is a street number on Court Street	Court Street, from Central Avenue to No. 22.
Crescent Avenue			Centre Street			Norwood Avenue							Crescent Avenue, from Centre Street to Norwood Avenue.
Crescent Square		southwestbound,southeastbound	Thornton Street			Waban Street							Crescent Square, from Thornton Street southwesterly and southeasterly to Waban Street.
Crescent Street			Webster Street			Rowe Street Extension							Crescent Street, from Webster Street to Rowe Street Extension.
David Road		westbound	Parker Street			Theodore Road							David Road, from Parker Street westerly to Theodore Road.
Devon Street		northbound	Brookline border			Middlesex Road							Devon Street, from Brookline border northerly to Middlesex Road.
Dolphin Road			Mandalay Road			Fellsmere Road							Dolphin Road, from Mandalay Road to Fellsmere Road.
Eldredge Street		southbound	Elmwood Street			Vernon Street							Eldredge Street, from Elmwood Street southerly to Vernon Street.
