street,segment,start,end,direction,exceptions,notes
Beacon Street,1,Centre Street,Dalton Street,both,,
Beacon Street,2,Waban Avenue,Woodward Street,both,,
Brookline Street,,Oak Hill Street,Hartman Road,both,,
Centre Street,1,Beacon Street,Lyman Street,both,,
Centre Street,2,Watertown line,Washington Street,both,,
Cypress Street,,Bow Street,Bowen School Bus and Driveway Loop,both,,
Derby Street,,Cherry Street,Edward Road,both,,
Lincoln Street,,Walnut Street,Columbus Street,both,,
Pine Street,,225 feet northeast of Washburn Avenue,385 feet northeasterly,both,,
Walnut Street,,Otis Street,Foster Street,both,,
Washington Park,,Walnut Street,Park Place,both,,
Washington Street,1,Chestnut Street,westerly turnpike bridge at West Newton,both,police and emergency vehicles in front of police headquarters,75 feet in front of police headquarters
Washington Street,2,Crafts Street,Lowell Avenue,both,,
Washington Street,3,Washington Street at Centre Street,,northbound,,
Washington Street,4,Newton-Wellesley Hospital's west driveway,east driveway,both,,
Watertown Street,1,Albemarle Road,Edinboro Street,both,,
Watertown Street,2,Hawthorn Street,Pearl Street,both,,
Wheeler Road,,Meadowbrook Road,Voss Terrace,both,,
