from,to,direction,exceptions,times,other
Auburn Street,driveway of 1900 Commonwealth Avenue,eastbound,,,
Auburn Street,Curve Street,,,,7:00 a.m. to 9:00 a.m.
Beacon Street,Newton Centre municipal parking area,eastbound,,,
Beacon Place,Centre Street,,,,
Beacon Street,Beethoven Avenue,,,Mondays/Tuesdays/Thursdays/Fridays school days 8:00-9:00am & 2:30-3:30pm; Wednesdays school days 8:00-9:00am & 12:00-1:00pm,
Beacon Street,Hammondswood Road,,,7:00 a.m. to 9:00 a.m.,
Bridge Street,Watertown Street,southbound to eastbound,,4 p.m. and 6 p.m.,
Bristol Road,Commonwealth Avenue (North Drive),northbound,bicycles,,
Centre Street,Rice Street,southbound,,,
Charlesbank Road,Centre Street,westbound,,,
Commonwealth Avenue,Woodbine Street,eastbound,,,
Crafts Street,Albemarle Road,eastbound,bicycles,,
Cypress Street,Centre Street,easterly,,,
Davis Street,Highland Street,,,,
Elliot Street,High Street,eastbound,,,
Forest Street,Walnut Street,northbound,,,
Grove Street,Williams School driveway,northbound,,,
Grove Street,Riverside Office Center northerly drive,northerly,,,
Grove Street,Riverside Office Center southerly drive,northerly,,,
Grove Street,Central Street,southbound to eastbound,,,
Linden Street,Cliff Road,northbound,,,
Morseland Avenue,Ward Street,southbound,,,
Nahanton Street,Dedham Street,eastbound to northbound,,,at southernmost intersection
North Street,Albemarle Road (eastern leg),northwestbound,bicycles,,
Park Street,Centre Street,northbound,,,
Peirce Elementary School Parking Lot,Berkeley Street,,,,
Ruane Road,Peirce Elementary School Parking Lot,,,,
Short Street,Beacon Street,,,,
Walnut Street,Elm Road,northbound,,school days 8:00-9:30am & 3:00-4:30pm,
Walnut Street,Lowell Avenue,northbound,,,
Walnut Street,Tiger Drive,northbound,,,
Washburn Street,Capital Street,,,school days 8:00-8:45am,
Washington Street,Waltham Street,eastbound,,,
Washington Street,Waltham Street,eastbound,,,
Washington Street,Centre Street,northbound,,,
Washington Street,Washington Street (opposite Elm Street),westbound,,,
Washington Street,entrance to Massachusetts Turnpike,westbound,,,
Watertown Street,Washington Street,,,,
Williams School driveway (Grove Street),Grove Street,northbound,,,
Woodland Road,Hancock Street,,,7:00am to 4:00pm weekdays,
