from,to,direction,times,exceptions,notes
Commonwealth Avenue Carriage Way,Lowell Avenue,westbound,,,
Commonwealth Avenue North Drive at 629 Commonwealth Avenue,Commonwealth Avenue South Drive,,,,
Elm Street,Washington Street,,,,
Elm Street,Washington Street,southbound,,,
Newton Centre parking area,Beacon Street,,,,"from municipal parking area"
Newtonville Avenue,Walnut Street,westbound,,,
Putnam Street,Washington Street,northbound,,,
Summer Street,Willow Street,,,,southbound direction
Tiger Drive,Walnut Street,,,,
Union Street,Beacon Street,,,,
Waltham Street,Washington Street,,,,
Waltham Street,Washington Street,southbound,,,
Woodbine Street,Commonwealth Avenue,,,,
