street	direction	cross_street	location_detail	notes	source_text
Commonwealth Avenue Carriage Way	westbound	Lowell Avenue			Commonwealth Avenue Carriage Way onto Lowell Avenue, westbound.
Commonwealth Avenue North Drive		Commonwealth Avenue South Drive	at 629 Commonwealth Avenue		Commonwealth Avenue North Drive, at 629 Commonwealth Avenue, onto Commonwealth Avenue South Drive.
Elm Street		Washington Street			Elm Street onto Washington Street.
Elm Street	southbound	Washington Street			Elm Street, southbound, onto Washington Street.
Newton Centre parking area		Beacon Street	from municipal parking area	street is a parking area, not a public way	Newton Centre parking area, from municipal parking area onto Beacon Street.
Newtonville Avenue	westbound	Walnut Street			Newtonville Avenue, westbound, onto Walnut Street.
Putnam Street	northbound	Washington Street			Putnam Street, northbound, onto Washington Street.
Summer Street	southbound	Willow Street			Summer Street onto Willow Street, southbound.
Tiger Drive		Walnut Street			Tiger Drive, onto Walnut Street.
Union Street		Beacon Street			Union Street onto Beacon Street.
Waltham Street		Washington Street			Waltham Street onto Washington Street.
Waltham Street	southbound	Washington Street			Waltham Street, southbound, onto Washington Street.
Woodbine Street		Commonwealth Avenue			Woodbine Street onto Commonwealth Avenue.
