from,to,direction,times,exceptions,notes
Albemarle Road,Maynard Street,,3:00 p.m. to 5:00 p.m.,,
Auburn Street,Curve Street,,7:00 a.m. to 9:00 a.m.,,
Beacon Street,Beethoven Avenue,,"Mondays, Tuesdays, Thursdays, Fridays, school days, 8:00 a.m. to 9:00 a.m. and 2:30 p.m. to 3:30 p.m., Wednesdays, school days, 8:00 a.m. to 9:00 a.m. and 12:00 p.m. to 1:00 p.m.",,
Bristol Road,Commonwealth Avenue (North Drive),southbound,,bicycles,
Commonwealth Avenue (South Drive),Phillips Street,,,,
Crafts Street,Albemarle Road (eastern leg),westbound,,bicycles,
Grove Street,Riverside Office Center southerly drive,southerly,,,
High Street,Elliot Street,,,,
Jefferson Street driveway of 2 Newton Place (255 Washington Street),Jefferson Street,,,,
Lexington Street,Staniford Street,,7:00 a.m. to 9:00 a.m.,,
Linden Street,Cliff Road,southbound,,,
Morseland Avenue,Ward Street,northbound,,,
North Street,Albemarle Road (eastern leg),southeastbound,,bicycles,
Peirce Elementary School Parking Lot,Berkeley Street,,,,
Ruane Road,Peirce Elementary School Parking Lot,,,,
Walnut Street,Elm Road,southbound,"school days, 7:00 a.m. to 8:30 a.m. and 2:00 p.m. to 3:30 p.m.",,
Washburn Street,Capital Street,,"school days, 8:00 a.m. to 8:45 a.m.",,
Washington Street,Day Street,,"weekdays, from 7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m.",,
Washington Street,Hope Street,,"weekdays, from 7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m.",,
Washington Street,Leslie Road,,"weekdays, from 7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m.",,
Washington Street,Watertown Street,westbound,,,
Woodland Road,Hancock Street,,"7:00 a.m. to 4:00 p.m., Weekdays",,
