street	direction	cross_street	turn	lane_detail	condition	days	times	location_detail	notes	source_text
Angier School driveway	southbound	Beacon Street	right							Angier School driveway, southbound at Beacon Street.
Beacon Street	westbound	Sumner Street	right							Beacon Street, westbound at Sumner Street.
Beacon Street	eastbound	Beethoven Avenue	right							Beacon Street, eastbound at Beethoven Avenue.
Beacon Street	westbound	Evelyn Road	right							Beacon Street, westbound at Evelyn Road.
Beacon Street	eastbound	Langley Road	right							Beacon Street, eastbound at Langley Road.
Beacon Street Extension	eastbound	Washington Street	right							Beacon Street Extension, eastbound at Washington Street.
Beethoven Avenue	northbound	Beacon Street	right							Beethoven Avenue, northbound at Beacon Street.
Cabot Street	westbound	Walnut Street	right							Cabot Street at Walnut Street, westbound.
Centre Avenue	eastbound	Centre Street	right	left two lanes						Centre Avenue at Centre Street, eastbound (left two lanes).
Centre Avenue	eastbound	Centre Street	right	right two lanes						Centre Avenue at Centre Street, eastbound (right two lanes).
Centre Street	all	Commonwealth Avenue	right							Centre Street, all directions at Commonwealth Avenue.
Centre Street	eastbound	Park Street	right							Centre Street, facing eastbound traffic at Park Street.
Centre Street	all	Church Street	right							Centre Street at Church Street, all approaches.
Charlesbank Road	eastbound	Nonantum Road	right							Charlesbank Road, eastbound, at Nonantum Road.
Chestnut Street	all	Oak Street	right							Chestnut Street at Oak Street, all approaches.
Chestnut Street	all	Woodward Street	right							Chestnut Street at Woodward Street, all directions.
Church Street	northwestbound	Washington Street	right							Church Street, northwestbound, at Washington Street.
Commonwealth Avenue	eastbound	Hammond Street	right							Commonwealth Avenue eastbound at Hammond Street.
Commonwealth Avenue	westbound	Grant Avenue	right							Commonwealth Avenue, westbound at Grant Avenue.
Commonwealth Avenue	westbound	Washington Street	right							Commonwealth Avenue westbound at Washington Street.
Crafts Street	all	Linwood Avenue	right							Crafts Street at Linwood Avenue, all approaches.
Crafts Street	northbound	North Street	right							Crafts Street at North Street, northbound.
Crafts Street	all	Watertown Street	right							Crafts Street at Watertown Street, all directions.
Dedham Street	westbound	Winchester Street	right							Dedham Street, westbound, onto Winchester Street.
Edinboro Street, Walker Street, and Watertown Street	all		right							Edinboro Street, Walker Street, and Watertown Street, all directions.
Elm Street	southbound	Washington Street	right		when illuminated					Elm Street at Washington Street, southbound (when illuminated).
Evelyn Road	southbound	Beacon Street	right							Evelyn Road, southbound at Beacon Street.
Grant Avenue	northbound	Commonwealth Avenue	right							Grant Avenue, northbound at Commonwealth Avenue.
Grant Avenue	southbound	Commonwealth Avenue	right							Grant Avenue, southbound at Commonwealth Avenue.
Grant Avenue	southbound	Carriage Road	right							Grant Avenue, southbound at Carriage Road.
Hammond Street	northbound	Commonwealth Avenue	right							Hammond Street, northbound at Commonwealth Avenue.
Hammond Street	southbound	Commonwealth Avenue	right							Hammond Street, southbound at Commonwealth Avenue.
Hammond Street	southbound	Carriage Road	right							Hammond Street, southbound at Carriage Road.
Harvard Street	northbound	Washington Street	right							Harvard Street, northbound, at Washington Street.
Highland Street	northbound	Washington Street	right							Highland Street at Washington Street, northbound.
Homer Street	westbound	Walnut Street	right							Homer Street, westbound at Walnut Street.
Jefferson Street	westbound	Centre Street	right							Jefferson Street, westbound at Centre Street.
Lowell Avenue	all	Washington Street	right							Lowell Avenue at Washington Street, all approaches.
Manitoba Road	northbound	Beacon Street	right							Manitoba Road, northbound at Beacon Street.
North Street	southbound	Crafts Street	right							North Street, southbound at Crafts Street.
Park Street	northeastbound	Centre Street	right							Park Street, northeastbound at Centre Street.
