street1,street2,direction,notes
Beacon Street,Centre Street,eastbound and westbound,
Beacon Street,Angier School Driveway,eastbound,
Beacon Street,Grant Avenue,eastbound,
Beacon Street,Hammond Pond Parkway,westbound,
Beacon Street,Hammond Street,eastbound,
Beacon Street,Hammond Street,westbound,
Beacon Street,Waban Avenue,westbound,
Centre Street,Beacon Street,northbound,
Centre Street,Cabot Street,northbound,
Centre Street,Church Street,northbound,
Centre Street,Church Street,southbound,
Centre Street,Cypress Street,southbound,
Centre Street,Homer Street,northbound,
Cherry Street,Washington Street,southbound,
Chestnut Street,Washington Street,northbound,
Collins Road,Beacon Street,northbound,
Commonwealth Avenue,Walnut Street,all directions,
Commonwealth Avenue,Grant Avenue,eastbound,
Commonwealth Avenue,Hammond Street,eastbound,
Commonwealth Avenue,Grant Avenue,westbound,
Commonwealth Avenue,Wachusett Road or Hammond Street,westbound,
Commonwealth Avenue (North Drive),Washington Street,westbound,
Commonwealth Avenue (South Drive),Lowell Avenue,eastbound,
Commonwealth Avenue (South Drive),Washington Street,eastbound,
Crafts Street,Waltham Street,westbound,
Dedham Street,Nahanton Street westbound,northbound,at the southernmost intersection of Dedham Street and Nahanton Street
Elm Road,Walnut Street,eastbound,
Grant Avenue,Commonwealth Avenue,northbound,
Grant Avenue,Commonwealth Avenue,southbound,
Grove Street,267-287 Grove Street,northbound,
Hammond Street,Commonwealth Avenue,northbound,
Hammond Street,Commonwealth Avenue,southbound,
Homer Street,Commonwealth Avenue (South Drive),northbound,
Jackson Road,Washington Street,southbound,
Langley Road,Beacon Street,northbound,
Langley Road,Beacon Street and Sumner Street,southbound,
Lowell Avenue,Commonwealth Avenue South Drive,southbound,
Nahanton Street,Jewish Community Center Drive,eastbound,
Nahanton Street,Wells Avenue,westbound,
Walnut Street,Beacon Street,all directions,
Walnut Street,Trio Parking Lot,northbound,between Washington St and Foster St
Walnut Street,Austin Street,northbound,
Walnut Street,Elm Road,northbound,
Walnut Street,Washington Street,northbound,
Walnut Street,Watertown Street,northbound,
Walnut Street,Cabot Street,southbound,
Walnut Street,Newtonville Avenue,southbound,
Walnut Street,Washington Street,southbound,
Walnut Street,Watertown Street,southbound,
Washington Street,Concord Street,eastbound,
Washington Street,Watertown Street,eastbound,
Washington Street,Washington Street,northbound,"two lanes on Washington Street Bridge over Mass. Turnpike"
Washington Street,Washington Street,north-eastbound,continuing onto Washington Street (opposite Elm Street)
Washington Street,Driveway of 2150 Washington Street,westbound,
Washington Street,Beacon Street,westbound,
Washington Street,Lewis Terrace,westbound,
Washington Street,Newton-Wellesley Hospital east driveway,westbound,
Washington Street,Newton-Wellesley Hospital west driveway,westbound,
Washington Street,Quinobequin Road or Wales Street,westbound,
Watertown Street,Crafts Street,eastbound,
Watertown Street,Crafts Street,westbound,
Watertown Street,Walnut Street,eastbound,
Watertown Street,Walnut Street,westbound,
