street1,street2,direction,notes
Beacon Street,Hammond Pond Parkway,eastbound,
Beacon Street,Washington Street,northbound,
Brookline Street,Dedham Street,westbound,
Centre Street,Beacon Street,northbound,
Centre Street,Park Street,eastbound,
Cherry Street,Washington Street,southbound,
Chestnut Street,Washington Street,northbound,
Collins Road,Beacon Street,northbound,
Dedham Street,Nahanton Street,southbound,
Dedham Street,Nahanton Street westbound,southbound,at the southernmost intersection of Nahanton Street and Dedham Street
Elm Road,Walnut Street,eastbound,
Homer Street,Walnut Street,eastbound,
Jackson Road,Washington Street,southbound,
Walnut Street,Watertown Street,northbound,
Walnut Street,Washington Street,northbound,
Walnut Street,Homer Street,southbound,
Washington Street,Jackson Road,westbound,
Washington Street,Chestnut Street,eastbound,
Washington Street,Commonwealth Avenue,eastbound,
Washington Street,Highland Street,eastbound,
Washington Street,Putnam Street,eastbound,
Washington Street,Woodland MBTA driveway,eastbound,
Washington Street,Washington Street,north-eastbound,continuing onto Washington Street (opposite Elm Street)
